Gene Symbol	Alias(es)	Gene Name(s)
HCAR3	HCA3,HM74; G protein-coupled receptor 109B	hydroxycarboxylic acid receptor 3
HCK	hemopoietic cell kinase; JTK9	HCK proto-oncogene, Src family tyrosine kinase
HCST	DNAX-activation protein 10,kinase assoc pro of ~10kDa; phosphoinositide-3-kinase adaptor protein; DAP10,DKFZP586C1522,KAP10	hematopoietic cell signal transducer
HDAC1	HD1,GON-10,KDAC1	histone deacetylase 1
HDAC11		histone deacetylase 11
HDAC3	RPD3,HD3,RPD3-2,KDAC3	histone deacetylase 3
HDAC4	KIAA0288,HDAC-A,HDACA,HD4,HA6116,HDAC-4; brachydactyly-mental retardation syndrome	histone deacetylase 4
HDAC5	KIAA0600,NY-CO-9,FLJ90614	histone deacetylase 5
HGF	hepatopoietin A,fibroblast-derived tumor cytotoxic factor,scatter factor,lung fibroblast-derived mitogen; deafness, autosomal recessive 39,hepatocyte growth factor (hepapoietin A; scatter factor); SF,F-TCF,HGFB,HPTA	hepatocyte growth factor
HIF1A	MOP1,HIF-1alpha,PASD8,HIF1,bHLHe78; hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	hypoxia inducible factor 1 subunit alpha
HILPDA	FLJ21076,HIG-2,HIG2; hypoxia inducible gene 2; chromosome 7 open reading frame 68,hypoxia inducible lipid droplet-associated	hypoxia inducible lipid droplet associated
HLA-A		major histocompatibility complex, class I, A
HLA-B	ankylosing spondylitis	major histocompatibility complex, class I, B
HLA-C	psoriasis susceptibility 1	major histocompatibility complex, class I, C
HLA-DPA1		major histocompatibility complex, class II, DP alpha 1
HLA-DPB1		major histocompatibility complex, class II, DP beta 1
HLA-DQA1	CELIAC1	major histocompatibility complex, class II, DQ alpha 1
HLA-DQB1	IDDM1,CELIAC1	major histocompatibility complex, class II, DQ beta 1
HLA-DRA		major histocompatibility complex, class II, DR alpha
HLA-DRB1		major histocompatibility complex, class II, DR beta 1
HLA-DRB5		major histocompatibility complex, class II, DR beta 5
HLA-E		major histocompatibility complex, class I, E
HMGB2	high-mobility group (nonhistone chromosomal) protein 2,high-mobility group box 2	high mobility group box 2
HMGN2	high-mobility group (nonhistone chromosomal) protein 17,high-mobility group nucleosomal binding domain 2	high mobility group nucleosomal binding domain 2
HPGDS	glutathione S-transferase sigma; GSTS,PGDS,H-PGDS,PGD2,GSTS1-1,GSTS1	hematopoietic prostaglandin D synthase
HSD17B2	short chain dehydrogenase/reductase family 9C, member 2; hydroxysteroid (17-beta) dehydrogenase 2; HSD17,SDR9C2	hydroxysteroid 17-beta dehydrogenase 2
HSD3B2	short chain dehydrogenase/reductase family 11E, member 2; SDR11E2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2
HSP90AA1	heat shock 90kD protein 1, alpha,heat shock 90kDa protein 1, alpha,heat shock protein 90kDa alpha (cytosolic), class A member 1; Hsp89,Hsp90,FLJ31884,HSP90N	heat shock protein 90 alpha family class A member 1
HSP90AB1	heat shock 90kD protein 1, beta,heat shock 90kDa protein 1, beta,heat shock protein 90kDa alpha (cytosolic), class B member 1	heat shock protein 90 alpha family class B member 1
HSP90B1	tumor rejection antigen (gp96) 1,heat shock protein 90kDa beta (Grp94), member 1; GP96,GRP94; endoplasmin	heat shock protein 90 beta family member 1
HSPA1A	heat shock 70kD protein 1A,heat shock 70kDa protein 1A; HSP70-1	heat shock protein family A (Hsp70) member 1A
HSPA1B	HSP70-2; heat shock 70kD protein 1B,heat shock 70kDa protein 1B	heat shock protein family A (Hsp70) member 1B
HSPB1	HSP27,HSP28,Hs.76067,Hsp25,CMT2F; heat shock 27kD protein 1,heat shock 27kDa protein 1	heat shock protein family B (small) member 1
HTT	IT15; huntingtin (Huntington disease)	huntingtin
IAPP	AMYLIN,DAP,IAP; amylin	islet amyloid polypeptide
ICAM1	BB2,CD54; human rhinovirus receptor	intercellular adhesion molecule 1
ICAM2	CD102	intercellular adhesion molecule 2
ICAM3	CDW50,ICAM-R,CD50	intercellular adhesion molecule 3
ICOS	activation-inducible lymphocyte immunomediatory molecule; AILIM,CD278; inducible T-cell costimulator	inducible T cell costimulator
ICOSLG	KIAA0653,GL50,B7-H2,B7RP-1,B7H2,B7RP1,ICOS-L,CD275,B7h; inducible T-cell costimulator ligand; B7-related protein 1,B7 homologue 2,B7 homolog 2	inducible T cell costimulator ligand
IDO1	indoleamine-pyrrole 2,3 dioxygenase	indoleamine 2,3-dioxygenase 1
IER3	IEX-1,DIF-2,PRG1,IEX-1L	immediate early response 3
IFI27	P27,FAM14D,ISG12	interferon alpha inducible protein 27
IFIH1	MDA-5,Hlcd,MDA5,IDDM19; helicard,melanoma differentiation-associated gene 5	interferon induced with helicase C domain 1
IFIT1	GARG-16; interferon-induced protein with tetratricopeptide repeats 1	interferon induced protein with tetratricopeptide repeats 1
IFITM1	interferon-induced transmembrane protein 1,dispanin subfamily A member 2a; 9-27,CD225,DSPA2a; interferon induced transmembrane protein 1 (9-27)	interferon induced transmembrane protein 1
IFITM3	dispanin subfamily A member 2b; 1-8U,DSPA2b; interferon induced transmembrane protein 3 (1-8U)	interferon induced transmembrane protein 3
IFNA1	IFNA@,IFL,IFN,IFN-ALPHA,IFNA13,IFN-alphaD; IFN-alpha 1b,interferon alpha 1b	interferon alpha 1
IFNAR1	IFRC; IFNalpha/beta receptor 1,type I interferon receptor 1,interferon alpha/beta receptor 1; interferon (alpha, beta and omega) receptor 1	interferon alpha and beta receptor subunit 1
IFNAR2	interferon alpha/beta receptor 2,IFNalpha/beta receptor subunit 2,type I interferon receptor 2; interferon (alpha, beta and omega) receptor 2	interferon alpha and beta receptor subunit 2
IFNB1	IFB,IFF; interferon, beta 1, fibroblast	interferon beta 1
IFNG		interferon gamma
IFNGR1	CD119	interferon gamma receptor 1
IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1); AF-1	interferon gamma receptor 2
IFNL2	interleukin 28A,interleukin 28A (interferon, lambda 2); IL-28A	interferon lambda 2
IFNL3	interleukin 28B,interleukin 28B (interferon, lambda 3); IL-28B,IL28C	interferon lambda 3
IGF1	IGF1A,IGFI,IGF-I,IGF; somatomedin C; insulin-like growth factor 1 (somatomedin C)	insulin like growth factor 1
IGF1R	JTK13,CD221,IGFIR,MGC18216,IGFR; insulin-like growth factor 1 receptor	insulin like growth factor 1 receptor
IGF2	FLJ44734,IGF-II; somatomedin A,preptin; chromosome 11 open reading frame 43,insulin-like growth factor 2	insulin like growth factor 2
IGF2R	CD222,MPRI,MPR1,CIMPR,M6P-R,CI-M6PR,CI-MPR,MPR300; insulin-like growth factor 2 receptor; cation-independent mannose-6 phosphate receptor	insulin like growth factor 2 receptor
IGFBP3	insulin-like growth factor binding protein 3; growth hormone-dependent binding protein,acid stable subunit of the 140 K IGF complex,binding protein 53,binding protein 29,IGF-binding protein 3; IBP3,BP-53	insulin like growth factor binding protein 3
IGFBP5	insulin-like growth factor binding protein 5	insulin like growth factor binding protein 5
IGFBP6	insulin-like growth factor binding protein 6	insulin like growth factor binding protein 6
IGFBP7	insulin-like growth factor binding protein 7; MAC25,IGFBP-7,PSF,FSTL2	insulin like growth factor binding protein 7
IGHA1		immunoglobulin heavy constant alpha 1
IGHD	FLJ00382,FLJ46727,MGC29633; immunoglobulin delta,constant region of heavy chain of IgD	immunoglobulin heavy constant delta
IGHG1		immunoglobulin heavy constant gamma 1 (G1m marker)
IGHG2		immunoglobulin heavy constant gamma 2 (G2m marker)
IGHM		immunoglobulin heavy constant mu
IGKC		immunoglobulin kappa constant
IL10	CSIF,TGIF,IL10A,IL-10; cytokine synthesis inhibitory factor,T-cell growth inhibitory factor	interleukin 10
IL10RA	interleukin 10 receptor, alpha; HIL-10R,CDW210A,CD210a,CD210	interleukin 10 receptor subunit alpha
IL10RB	interleukin 10 receptor, beta; CRF2-4,CDW210B,IL-10R2	interleukin 10 receptor subunit beta
IL11	IL-11,AGIF; adipogenesis inhibitory factor,oprelvekin	interleukin 11
IL11RA	interleukin 11 receptor, alpha	interleukin 11 receptor subunit alpha
IL12A	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35); CLMF,IL-12A,p35,NFSK; natural killer cell stimulatory factor 1, 35 kD subunit,cytotoxic lymphocyte maturation factor 1, p35,interleukin 12, p35,IL-12, subunit p35,NF cell stimulatory factor chain 1,interleukin-12 alpha chain,IL35 subunit	interleukin 12A
IL12B	CLMF,IL-12B,NKSF,CLMF2; interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40); natural killer cell stimulatory factor-2,cytotoxic lymphocyte maturation factor 2, p40,interleukin 12, p40,natural killer cell stimulatory factor, 40 kD subunit,interleukin-12 beta chain,IL12, subunit p40	interleukin 12B
IL12RB1	interleukin 12 receptor, beta 1; CD212	interleukin 12 receptor subunit beta 1
IL12RB2	interleukin 12 receptor, beta 2	interleukin 12 receptor subunit beta 2
IL13RA1	interleukin 13 receptor, alpha 1; IL-13Ra,NR4,CD213a1; IL13 receptor alpha-1 chain,CD213a1 antigen	interleukin 13 receptor subunit alpha 1
IL15	IL-15,MGC9721	interleukin 15
IL15RA	CD215,IL-15RA; interleukin 15 receptor, alpha	interleukin 15 receptor subunit alpha
IL16	interleukin 16 (lymphocyte chemoattractant factor); prointerleukin 16,lymphocyte chemoattractant factor; LCF,IL-16,prIL-16,HsT19289,FLJ42735,FLJ16806	interleukin 16
IL17A	interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8); IL-17A,IL-17; cytotoxic T-lymphocyte-associated protein 8	interleukin 17A
IL17B	IL-17B,ZCYTO7,IL-20,MGC138900,MGC138901,NIRF; neuronal interleukin-17-related factor	interleukin 17B
IL17D	interleukin 27; IL-27,IL-17D,IL27,FLJ30846	interleukin 17D
IL17RA	hIL-17R,IL-17RA,CDw217,CD217; interleukin 17 receptor	interleukin 17 receptor A
IL17RB	IL17RH1,EVI27,CRL4; interleukin 17B receptor	interleukin 17 receptor B
IL17RE	FLJ23658	interleukin 17 receptor E
IL18	IGIF,IL1F4,IL-1g,IL-18; interferon-gamma-inducing factor; interleukin 18 (interferon-gamma-inducing factor)	interleukin 18
IL18R1	IL1RRP,IL-1Rrp,CD218a	interleukin 18 receptor 1
IL1A	IL1F1,IL-1A,IL1-ALPHA; preinterleukin 1 alpha,hematopoietin-1,pro-interleukin-1-alpha	interleukin 1 alpha
IL1B	IL1F2,IL-1B,IL1-BETA	interleukin 1 beta
IL1R1	interleukin-1 receptor, type I; interleukin 1 receptor, type I; D2S1473,CD121A	interleukin 1 receptor type 1
IL1R2	CD121b; interleukin 1 receptor, type II	interleukin 1 receptor type 2
IL1RAP	IL-1RAcP,IL1R3,C3orf13	interleukin 1 receptor accessory protein
IL1RL1	ST2,FIT-1,ST2L,ST2V,DER4,T1,IL33R; homolog of mouse growth stimulation-expressed	interleukin 1 receptor like 1
IL1RN	interleukin-1 receptor antagonist protein,intracellular interleukin-1 receptor antagonist; IL1RA,ICIL-1RA,IL1F3,IRAP,IL-1RN,MGC10430	interleukin 1 receptor antagonist
IL2	IL-2,TCGF; T cell growth factor	interleukin 2
IL20	ZCYTO10,IL10D,IL-20	interleukin 20
IL20RA	interleukin 20 receptor, alpha,interleukin 20 receptor alpha subunit; ZCYTOR7,IL-20R1	interleukin 20 receptor subunit alpha
IL22RA1	CRF2-9; interleukin 22 receptor,interleukin 22 receptor, alpha 1	interleukin 22 receptor subunit alpha 1
IL23A	interleukin 23, alpha subunit p19; interleukin-six, G-CSF related factor; SGRF,IL23P19,IL-23,IL-23A,P19	interleukin 23 subunit alpha
IL24	mda-7,IL10B,Mob-5,C49A,FISP,IL-24; melanoma differentiation association protein 7,suppression of tumorigenicity 16 (melanoma differentiation),IL-4-induced secreted protein	interleukin 24
IL27RA	T-cell cytokine receptor type 1; WSX-1,TCCR,CRL1,WSX1,zcytor1,IL-27R; interleukin 27 receptor, alpha	interleukin 27 receptor subunit alpha
IL2RA	insulin-dependent diabetes mellitus 10,interleukin 2 receptor, alpha; CD25	interleukin 2 receptor subunit alpha
IL2RB	interleukin 15 receptor, beta,interleukin 2 receptor, beta; CD122	interleukin 2 receptor subunit beta
IL2RG	severe combined immunodeficiency,combined immunodeficiency, X-linked,interleukin 2 receptor, gamma; CD132	interleukin 2 receptor subunit gamma
IL32	NK4,TAIF,TAIFb,TAIFd; natural killer cell transcript 4	interleukin 32
IL33	DVS27-related protein,nuclear factor for high endothelial venules,interleukin-1 family, member 11; chromosome 9 open reading frame 26 (NF-HEV); DVS27,DKFZp586H0523,NF-HEV,IL1F11	interleukin 33
IL34	MGC34647,IL-34; chromosome 16 open reading frame 77	interleukin 34
IL36G	IL-1H1,IL-1RP2,IL-1F9,IL1H1,IL1E; interleukin 1 family, member 9; interleukin-1 homolog 1,interleukin 1-related protein 2,interleukin-1 epsilon	interleukin 36 gamma
IL3RA	interleukin 3 receptor, alpha (low affinity); CD123	interleukin 3 receptor subunit alpha
IL4R	interleukin 13 receptor; CD124	interleukin 4 receptor
IL6	interferon, beta 2; IL-6,BSF2,HGF,HSF; interleukin 6 (interferon, beta 2)	interleukin 6
IL6R	membrane glycoprotein 80,interleukin 6 receptor subunit alpha; CD126,IL-6R,IL-1Ra,IL6RA,gp80	interleukin 6 receptor
IL6ST	GP130,CD130,sGP130,IL-6RB; gp130, oncostatin M receptor,Interleukin-6 receptor subunit beta,membrane glycoprotein 130; interleukin 6 signal transducer (gp130, oncostatin M receptor),interleukin 6 signal transducer	interleukin 6 cytokine family signal transducer
IL7	IL-7	interleukin 7
IL7R	CD127,IL7RA	interleukin 7 receptor
INHA	inhibin, alpha	inhibin subunit alpha
INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide),inhibin, beta A	inhibin subunit beta A
INHBB	inhibin, beta B (activin AB beta polypeptide),inhibin, beta B	inhibin subunit beta B
INS	insulin-dependent diabetes mellitus 2	insulin
INSR	CD220	insulin receptor
IRF3		interferon regulatory factor 3
IRF4	LSIRF	interferon regulatory factor 4
ITGA1	VLA1,CD49a; integrin, alpha 1	integrin subunit alpha 1
ITGA2	alpha 2 subunit of VLA-2 receptor; CD49b; integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	integrin subunit alpha 2
ITGA3	CD49c,VLA3a,VCA-2,GAP-B3; antigen identified by monoclonal antibody J143,integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor); alpha 3 subunit of VLA-3 receptor,antigen CD49C	integrin subunit alpha 3
ITGA5	fibronectin receptor, alpha polypeptide; integrin, alpha 5 (fibronectin receptor, alpha polypeptide); CD49e	integrin subunit alpha 5
ITGA6	CD49f; integrin, alpha 6	integrin subunit alpha 6
ITGA9	integrin, alpha 9; integrin, alpha 4-like; RLC,ITGA4L,ALPHA-RLC	integrin subunit alpha 9
ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide); CD103,HUMINAE; antigen CD103,human mucosal lymphocyte antigen 1, alpha polypeptide	integrin subunit alpha E
ITGAL	antigen CD11A (p180),lymphocyte function-associated antigen 1, alpha polypeptide; integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide); LFA-1	integrin subunit alpha L
ITGAM	complement component 3 receptor 3 subunit; integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide),integrin, alpha M (complement component 3 receptor 3 subunit); MAC-1,CD11b	integrin subunit alpha M
ITGAV	CD51; antigen identified by monoclonal antibody L230,vitronectin receptor,integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51),integrin, alpha V	integrin subunit alpha V
ITGAX	integrin, alpha X (antigen CD11C (p150), alpha polypeptide),integrin, alpha X (complement component 3 receptor 4 subunit); complement component 3 receptor 4 subunit; CD11c	integrin subunit alpha X
ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12); CD29,GPIIA	integrin subunit beta 1
ITGB2	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit),integrin, beta 2 (complement component 3 receptor 3 and 4 subunit); LFA-1,MAC-1; complement component 3 receptor 3 and 4 subunit	integrin subunit beta 2
ITGB4	integrin, beta 4; CD104	integrin subunit beta 4
ITGB5	integrin, beta 5	integrin subunit beta 5
ITGB6	integrin, beta 6	integrin subunit beta 6
ITGB8	integrin, beta 8	integrin subunit beta 8
ITK	IL2-inducible T-cell kinase,IL2 inducible T-cell kinase; EMT,PSCTK2,LYK	IL2 inducible T cell kinase
ITM2A	BRICD2A,E25A; BRICHOS domain containing 2A	integral membrane protein 2A
JAG1	AHD,AWS,HJ1,CD339; Alagille syndrome,jagged 1	jagged canonical Notch ligand 1
JAK1	JAK1A,JTK3	Janus kinase 1
JAK2	JTK10	Janus kinase 2
JCHAIN	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides; immunoglobulin J chain,IgJ chain,J chain; IGCJ,JCH	joining chain of multimeric IgA and IgM
JUN	c-Jun,AP-1; v-jun avian sarcoma virus 17 oncogene homolog,jun oncogene	Jun proto-oncogene, AP-1 transcription factor subunit
JUNB		JunB proto-oncogene, AP-1 transcription factor subunit
KDR	vascular endothelial growth factor receptor 2,fetal liver kinase 1; FLK1,VEGFR,VEGFR2,CD309; kinase insert domain receptor (a type III receptor tyrosine kinase)	kinase insert domain receptor
KIT	mast/stem cell growth factor receptor Kit; CD117,SCFR,C-Kit; piebald trait,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT proto-oncogene, receptor tyrosine kinase
KITLG	mast cell growth factor,stem cell factor,steel factor,familial progressive hyperpigmentation 2; SCF,SF,Kitl,KL-1,FPH2,SLF,DFNA69	KIT ligand
KLF2	lung Kruppel-like factor; LKLF; Kruppel-like factor 2 (lung)	Kruppel like factor 2
KLK3	PSA; kallikrein 3, (prostate specific antigen)	kallikrein related peptidase 3
KLRB1	killer cell lectin-like receptor subfamily B, member 1; CD161,NKR-P1,NKR-P1A,hNKR-P1A,CLEC5B; natural killer cell surface protein P1A	killer cell lectin like receptor B1
KLRK1	NKG2D,KLR,NKG2-D,CD314; DNA segment on chromosome 12 (unique) 2489 expressed sequence,killer cell lectin-like receptor subfamily K, member 1	killer cell lectin like receptor K1
KRAS	KRAS1,K-Ras4B; v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,Kirsten rat sarcoma viral oncogene homolog	KRAS proto-oncogene, GTPase
KRT1	epidermolytic hyperkeratosis 1,keratin 1, type II; KRT1A	keratin 1
KRT10	K10,CK10; keratosis palmaris et plantaris,keratin 10, type I; cytokeratin 10,epidermolytic hyperkeratosis	keratin 10
KRT13	K13,CK13,MGC3781,MGC161462; keratin 13, type I; keratin, type I cytoskeletal 13,cytokeratin 13	keratin 13
KRT14	keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner),keratin 14, type I; epidermolysis bullosa simplex, Dowling-Meara, Koebner	keratin 14
KRT15	keratin-15, basic,keratin-15, beta,type I cytoskeletal 15,cytokeratin 15; K15,CK15,K1CO; keratin 15, type I	keratin 15
KRT16	NEPPK; keratin 16, type I; focal non-epidermolytic palmoplantar keratoderma	keratin 16
KRT17	keratin 17, type I	keratin 17
KRT18	keratin 18, type I	keratin 18
KRT19	keratin 19, type I; keratin, type I cytoskeletal 19,keratin, type I, 40-kd,cytokeratin 19,40-kDa keratin intermediate filament; K19,CK19,K1CS,MGC15366	keratin 19
KRT20	keratin 20, type I; CK20,K20,MGC35423	keratin 20
KRT23	keratin 23 (histone deacetylase inducible),keratin 23, type I; K23,DKFZP434G032,HAIK1,CK23,MGC26158	keratin 23
KRT24	keratin 24, type I; FLJ20261,MGC138169,MGC138173	keratin 24
KRT4	CK4,K4; CYK4; cytokeratin 4,keratin, type II cytoskeletal 4	keratin 4
KRT5	epidermolysis bullosa simplex 2 Dowling-Meara/Kobner/Weber-Cockayne types,keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types),keratin 5, type II; KRT5A	keratin 5
KRT6A	CK6C,K6C,CK6D,K6D; keratin 6C,keratin 6D,keratin 6A, type II	keratin 6A
KRT6B	keratin-like 1 (a type II keratin sequence),keratin 6B, type II	keratin 6B
KRT6C	keratin 6E,keratin 6C, type II	keratin 6C
KRT7	keratin, type II cytoskeletal 7,cytokeratin 7,sarcolectin,keratin, 55K type II cytoskeletal; keratin 7, type II; K7,CK7,K2C7,SCL	keratin 7
KRT8	keratin 8, type II; CARD2,K8,CK8,CYK8,K2C8,KO	keratin 8
KRT80	keratin 80, type II; KB20	keratin 80
KRT86	keratin, hair, basic, 6 (monilethrix),keratin 86, type II; hard keratin type II 6; MNX,Hb6	keratin 86
LAG3	lymphocyte-activation gene 3; CD223	lymphocyte activating 3
LAIR1	CD305,LAIR-1; leukocyte-associated Ig-like receptor 1,leukocyte-associated immunoglobulin-like receptor 1	leukocyte associated immunoglobulin like receptor 1
LAMP2	lysosomal-associated membrane protein 2; CD107b	lysosomal associated membrane protein 2
LAMP3	LAMP,TSC403,DC-LAMP,DCLAMP,CD208; lysosomal-associated membrane protein 3	lysosomal associated membrane protein 3
LCN2	NGAL,24p3; oncogene 24p3,neutrophil gelatinase-associated lipocalin,siderocalin; lipocalin 2 (oncogene 24p3)	lipocalin 2
LDLR	familial hypercholesterolemia; LDLCQ2	low density lipoprotein receptor
LEFTY1	LEFTYB; left-right determination, factor B	left-right determination factor 1
LEFTY2	endometrial bleeding associated factor (left-right determination, factor A; transforming growth factor beta superfamily); transforming growth factor, beta-4 (endometrial bleeding-associated factor; LEFTY A); LEFTA,LEFTYA	left-right determination factor 2
LEP	leptin (murine obesity homolog),leptin (obesity homolog, mouse)	leptin
LGALS1	lectin, galactoside-binding, soluble, 1; GBP	galectin 1
LGALS3	lectin, galactoside-binding, soluble, 3; MAC-2,GALIG; advanced glycation end-product receptor 3	galectin 3
LGALS3BP	MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,gp90,CyCAP; L3 antigen,Mac-2-binding protein,serum protein 90K,transport and golgi organization 10 homolog B (Drosophila); lectin, galactoside-binding, soluble, 3 binding protein	galectin 3 binding protein
LGALS9	LGALS9A; lectin, galactoside-binding, soluble, 9	galectin 9
LIF	differentiation inhibitory activity,differentiation-inducing factor,hepatocyte-stimulating factor III,cholinergic differentiation factor,human interleukin in DA cells; CDF,DIA,HILDA; leukemia inhibitory factor,LIF, interleukin 6 family cytokine	LIF interleukin 6 family cytokine
LIFR	CD118; leukemia inhibitory factor receptor,leukemia inhibitory factor receptor alpha,LIF receptor alpha	LIF receptor subunit alpha
LINC02446		long intergenic non-protein coding RNA 2446
LMNA	cardiomyopathy, dilated 1A (autosomal dominant),limb girdle muscular dystrophy 1B (autosomal dominant),progeria 1 (Hutchinson-Gilford type),lamin A/C-like 1; HGPS,MADA; mandibuloacral dysplasia type A	lamin A/C
LPAR5	KPG_010,LPA5; G protein-coupled receptor 92	lysophosphatidic acid receptor 5
LTB	TNF superfamily member 3; p33,TNFSF3	lymphotoxin beta
LTBR	TNFR superfamily, member 3; TNFCR,TNFR-RP,TNFR2-RP,TNF-R-III,TNFRSF3	lymphotoxin beta receptor
LTF	HLF2	lactotransferrin
LUM	SLRR2D; lumican proteoglycan	lumican
LY6D	lymphocyte antigen 6 complex, locus D; E48	lymphocyte antigen 6 family member D
LY75	DEC-205,CLEC13B,CD205	lymphocyte antigen 75
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog; JTK8	LYN proto-oncogene, Src family tyrosine kinase
LYZ	renal amyloidosis; lysozyme (renal amyloidosis)	lysozyme
MAF	c-MAF; v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog	MAF bZIP transcription factor
MALAT1	PRO1073,MALAT-1,NCRNA00047,HCN,NEAT2,LINC00047,mascRNA; metastasis associated lung adenocarcinoma transcript 1 (non-protein coding); metastasis associated in lung adenocarcinoma transcript 1,non-protein coding RNA 47,hepcarcin,nuclear enriched abundant transcript 2,nuclear paraspeckle assembly transcript 2 (non-protein coding),long intergenic non-protein coding RNA 47	metastasis associated lung adenocarcinoma transcript 1
MAML2	mastermind (Drosophila)-like 2,mastermind-like 2 (Drosophila); KIAA1819,MAM3	mastermind like transcriptional coactivator 2
MAP1LC3B	ATG8F	microtubule associated protein 1 light chain 3 beta
MAPK13	SAPK4,p38delta	mitogen-activated protein kinase 13
MAPK14	PRKM14,p38,Mxi2,PRKM15; p38 MAP kinase	mitogen-activated protein kinase 14
MARCO	scavenger receptor class A, member 2; SCARA2,SR-A6	macrophage receptor with collagenous structure
MECOM	myelodysplasia syndrome 1,ecotropic viral integration site 1; PR domain 3; MDS1-EVI1,PRDM3,KMT8E	MDS1 and EVI1 complex locus
MEG3	non-protein coding RNA 23,long intergenic non-protein coding RNA 23; maternally expressed 3,maternally expressed 3 (non-protein coding); GTL2,NCRNA00023,LINC00023,onco-lncRNA-83	maternally expressed 3
MERTK	c-mer proto-oncogene tyrosine kinase; mer,RP38,c-Eyk,Tyro12	MER proto-oncogene, tyrosine kinase
MET	hepatocyte growth factor receptor; met proto-oncogene; HGFR,RCCP2,DFNB97	MET proto-oncogene, receptor tyrosine kinase
MGP		matrix Gla protein
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor); glycosylation-inhibiting factor,phenylpyruvate tautomerase; GIF	macrophage migration inhibitory factor
MKI67	MIB-1,PPP1R105; antigen identified by monoclonal antibody Ki-67; protein phosphatase 1, regulatory subunit 105	marker of proliferation Ki-67
MMP1	matrix metalloproteinase 1 (interstitial collagenase); interstitial collagenase	matrix metallopeptidase 1
MMP10	matrix metalloproteinase 10 (stromelysin 2),stromelysin 2	matrix metallopeptidase 10
MMP12	matrix metalloproteinase 12 (macrophage elastase); HME; macrophage elastase	matrix metallopeptidase 12
MMP14	matrix metalloproteinase 14 (membrane-inserted),matrix metallopeptidase 14 (membrane-inserted); MT1-MMP; membrane type 1 metalloprotease,membrane type 1-matrix metalloproteinase	matrix metallopeptidase 14
MMP16	MT3-MMP,DKFZp761D112; matrix metalloproteinase 16 (membrane-inserted),chromosome 8 open reading frame 57,matrix metallopeptidase 16 (membrane-inserted)	matrix metallopeptidase 16
MMP19	matrix metalloproteinase 19; RASI-1	matrix metallopeptidase 19
MMP2	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase); TBE-1	matrix metallopeptidase 2
MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase),stromelysin 1	matrix metallopeptidase 3
MMP7	PUMP-1; matrix metalloproteinase 7 (matrilysin, uterine); matrilysin	matrix metallopeptidase 7
MMP8	matrix metalloproteinase 8 (neutrophil collagenase)	matrix metallopeptidase 8
MMP9	matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	matrix metallopeptidase 9
MPO		myeloperoxidase
MRC1	macrophage mannose receptor; mannose receptor, C type 1-like 1,mannose receptor, C type 1; CLEC13D,CD206,bA541I19.1,CLEC13DL	mannose receptor C-type 1
MRC2	mannose receptor, C type 2; KIAA0709,ENDO180,CLEC13E,CD280; C-type lectin domain family 13 member E,endocytic receptor 180	mannose receptor C type 2
MS4A1	membrane-spanning 4-domains, subfamily A, member 1; B1,Bp35,MS4A2,FMC7	membrane spanning 4-domains A1
MS4A4A	membrane-spanning 4-domains, subfamily A, member 4,membrane-spanning 4-domains, subfamily A, member 4A; CD20L1,MS4A7	membrane spanning 4-domains A4A
